iter	Passed	Remaining
1238	659832	3334312
1239	660416	3334037
1240	660969	3333608
1241	661520	3333169
1242	661979	3332266
1243	662375	3331046
1244	662924	3330596
1245	663322	3329389
1246	663872	3328942
1247	664353	3328153
1248	664924	3327814
1249	665393	3326967
1250	665877	3326192
1251	666386	3325543
1252	666929	3325065
1253	667455	3324504
1254	667987	3323968
1255	668383	3322762
1256	668773	3321519
1257	669276	3320844
1258	669753	3320041
1259	670250	3319335
1260	670730	3318546
1261	671140	3317412
1262	671641	3316726
1263	672180	3316232
1264	672649	3315393
1265	673188	3314895
1266	673705	3314292
1267	674269	3313915
1268	674838	3313568
1269	675328	3312829
1270	675710	3311564
1271	676218	3310920
1272	676696	3310125
1273	677189	3309405
1274	677835	3309433
1275	678296	3308553
1276	678807	3307922
1277	679340	3307400
1278	679848	3306754
1279	680441	3306520
1280	680884	3305560
1281	681386	3304886
1282	681867	3304109
1283	682437	3303761
1284	682964	3303207
1285	683521	3302800
1286	684051	3302262
1287	684511	3301383
1288	685036	3300825
1289	685509	3300011
1290	685986	3299216
1291	686405	3298144
1292	686941	3297640
1293	687350	3296521
1294	687801	3295602
1295	688262	3294739
1296	688753	3294015
1297	689159	3292885
1298	689631	3292074
1299	690160	3291536
1300	690723	3291155
1301	691168	3290216
1302	691697	3289677
1303	692217	3289096
1304	692736	3288505
1305	693247	3287881
1306	693814	3287525
1307	694275	3286662
1308	694806	3286129
1309	695216	3285031
1310	695739	3284464
1311	696250	3283840
1312	696757	3283198
1313	697247	3282475
1314	697746	3281797
1315	698225	3281025
1316	698784	3280624
1317	699224	3279668
1318	699768	3279203
1319	700199	3278207
1320	700714	3277602
1321	701210	3276912
1322	701714	3276261
1323	702237	3275695
1324	702769	3275171
1325	703300	3274644
1326	703901	3274440
1327	704398	3273757
1328	704911	3273142
1329	705380	3272329
1330	705910	3271795
1331	706463	3271371
1332	706955	3270661
1333	707351	3269513
1334	707897	3269055
1335	708409	3268441
1336	708929	3267864
1337	709423	3267164
1338	709933	3266541
1339	710329	3265394
1340	710729	3264267
1341	711286	3263863
1342	711820	3263351
1343	712361	3262870
1344	712869	3262238
1345	713336	3261421
1346	713869	3260905
1347	714309	3259964
1348	714788	3259203
1349	715278	3258490
1350	715830	3258062
1351	716344	3257458
1352	716993	3257473
1353	717453	3256624
1354	717979	3256075
1355	718452	3255289
1356	718927	3254512
1357	719485	3254109
1358	719930	3253194
1359	720484	3252775
1360	721005	3252207
1361	721532	3251664
1362	722052	3251091
1363	722620	3250733
1364	723199	3250423
1365	723660	3249584
1366	724166	3248948
1367	724703	3248453
1368	725209	3247816
1369	725737	3247276
1370	726138	3246171
1371	726735	3245944
1372	727238	3245296
1373	727710	3244506
1374	728207	3243832
1375	728738	3243308
1376	729242	3242664
1377	729769	3242124
1378	730468	3242349
1379	730965	3241674
1380	731493	3241138
1381	732035	3240659
1382	732566	3240136
1383	733117	3239699
1384	733675	3239296
1385	734138	3238470
1386	734638	3237812
1387	735091	3236943
1388	735561	3236154
1389	736011	3235274
1390	736544	3234757
1391	737065	3234193
1392	737567	3233541
1393	738046	3232794
1394	738481	3231847
1395	738994	3231249
1396	739563	3230890
1397	740131	3230530
1398	740587	3229683
1399	741084	3229009
1400	741496	3227971
1401	742075	3227659
1402	742647	3227314
1403	743243	3227072
1404	743869	3226964
1405	744338	3226173
1406	744884	3225715
1407	745409	3225166
1408	745880	3224383
1409	746376	3223712
1410	746916	3223227
1411	747405	3222525
1412	747890	3221804
1413	748390	3221150
1414	748881	3220453
1415	749402	3219892
1416	749906	3219254
1417	750330	3218272
1418	750846	3217686
1419	751406	3217290
1420	751928	3216731
1421	752418	3216033
1422	752884	3215233
1423	753422	3214745
1424	753924	3214100
1425	754446	3213540
1426	754986	3213059
1427	755489	3212416
1428	756009	3211852
1429	756517	3211232
1430	757150	3211142
1431	757681	3210623
1432	758117	3209699
1433	758584	3208909
1434	759113	3208376
1435	759577	3207573
1436	760107	3207051
1437	760677	3206695
1438	761142	3205897
1439	761614	3205127
1440	762135	3204565
1441	762678	3204094
1442	763221	3203627
1443	763722	3202980
1444	764296	3202640
1445	764781	3201928
1446	765230	3201063
1447	765740	3200455
1448	766310	3200099
1449	766916	3199894
1450	767431	3199304
1451	767885	3198466
1452	768426	3197987
1453	768969	3197515
1454	769516	3197062
1455	769976	3196248
1456	770585	3196053
1457	771122	3195555
1458	771654	3195040
1459	772194	3194556
1460	772713	3193987
1461	773232	3193419
1462	773724	3192735
1463	774277	3192307
1464	774837	3191907
1465	775279	3191022
1466	775773	3190350
1467	776311	3189858
1468	776841	3189335
1469	777313	3188573
1470	777836	3188019
1471	778369	3187509
1472	778889	3186941
1473	779437	3186492
1474	779961	3185944
1475	780545	3185640
1476	781037	3184961
1477	781484	3184100
1478	781995	3183497
1479	782362	3182310
1480	782799	3181412
1481	783257	3180597
1482	783869	3180405
1483	784383	3179820
1484	784952	3179453
1485	785389	3178555
1486	785814	3177605
1487	786279	3176822
1488	786809	3176302
1489	787279	3175537
1490	787794	3174955
1491	788255	3174154
1492	788782	3173619
1493	789240	3172809
